x,n,error(log10)
0.390625,256,-5.54164243795704847506e2
0.390625,512,-1.10960933390016001691e3
0.39453125,16,-3.33126573194020541488e1
0.39453125,32,-6.79153499714832574592e1
0.39453125,64,-1.37113872561106881511e2
0.39453125,128,-2.75507487313030049550e2
0.39453125,256,-5.52293001719040538995e2
0.39453125,512,-1.10586317299660886193e3
0.3984375,16,-3.32004085522441820371e1
0.3984375,32,-6.76872460977363908078e1
0.3984375,64,-1.36654042801399047520e2
0.3984375,128,-2.74584197961408658020e2
0.3984375,256,-5.50442789275641624514e2
0.3984375,512,-1.10215911241593523075e3
0.40234375,16,-3.30894101365949357606e1
0.40234375,32,-6.74616831036682856131e1
0.40234375,64,-1.36199335007871188194e2
0.40234375,128,-2.73671192764065710621e2
0.40234375,256,-5.48613185370268023360e2
0.40234375,512,-1.09849630914455585386e3
0.40625,16,-3.29796372704537306991e1
0.40625,32,-6.72386105864983208677e1
0.40625,64,-1.35749647576021283146e2
0.40625,128,-2.72768267712975834209e2
0.40625,256,-5.46803781187807393368e2
0.40625,512,-1.09487394475316432096e3
0.41015625,16,-3.28710658682491770146e1
0.41015625,32,-6.70179795994019239179e1
0.41015625,64,-1.35304881836358431634e2
0.41015625,128,-2.71875224693235598096e2
0.41015625,256,-5.45014179722491320341e2
0.41015625,512,-1.09129122445424229069e3
0.4140625,16,-3.27636725336328337334e1
0.4140625,32,-6.67997425962206193103e1
0.4140625,64,-1.34864941942945475343e2
0.4140625,128,-2.70991871259271276960e2
0.4140625,256,-5.43243995329433357344e2
0.4140625,512,-1.08774737620425808071e3
0.41796875,16,-3.26574345335508250714e1
0.41796875,32,-6.65838533787690210714e1
0.41796875,64,-1.34429734767176727212e2
0.41796875,128,-2.70118020421558045109e2
0.41796875,256,-5.41492853297231146011e2
0.41796875,512,-1.08424164984803464120e3
0.421875,16,-3.25523297735219850299e1
0.421875,32,-6.63702670465937994154e1
0.421875,64,-1.33999169796498567227e2
0.421875,128,-2.69253490443263822888e2
0.421875,256,-5.39760389440456760427e2
0.421875,512,-1.08077331630293289181e3
0.42578125,16,-3.24483367740557988822e1
0.42578125,32,-6.61589399490490065415e1
0.42578125,64,-1.33573159037799521906e2
0.42578125,128,-2.68398104646268856124e2
0.42578125,256,-5.38046249710935282761e2
0.42578125,512,-1.07734166678064828779e3
0.4296875,16,-3.23454346481476764846e1
0.4296875,32,-6.59498296395608164258e1
0.4296875,64,-1.33151616925213922336e2
0.4296875,128,-2.67551691226047203316e2
0.4296875,256,-5.36350089826781945113e2
0.4296875,512,-1.07394601204455926936e3
0.43359375,16,-3.22436030797930497593e1
0.43359375,32,-6.57428948319627759966e1
0.43359375,64,-1.32734460232099448229e2
0.43359375,128,-2.66714083074928858221e2
0.43359375,256,-5.34671574918233405546e2
0.43359375,512,-1.07058568170069684278e3
0.4375,16,-3.21428223034654601504e1
0.4375,32,-6.55380953587901304930e1
0.4375,64,-1.32321607986963914781e2
0.4375,128,-2.65885117613291452591e2
0.4375,256,-5.33010379189369279022e2
0.4375,512,-1.06726002352052576597e3
0.44140625,16,-3.20430730845072140676e1
0.44140625,32,-6.53353921314287202986e1
0.44140625,64,-1.31912981393130638180e2
0.44140625,128,-2.65064636628258552012e2
0.44140625,256,-5.31366185594876290393e2
0.44140625,512,-1.06396840279384041397e3
0.4453125,16,-3.19443367003843560189e1
0.4453125,32,-6.51347471020203922290e1
